Episode,Score,Best,Total reward,End position
1,-6.42336543569,0.332322203192,-122.043943278,[ 1.12032772 -0.01982123  0.          1.82084922  3.77847622  0.        ]
2,-5.09309959884,0.332322203192,-137.513689169,[-3.78687815  3.39277716  0.          3.46944177  5.28826494  0.        ]
3,-6.31905597039,0.332322203192,-139.019231349,[ 5.43042611 -2.83227227  0.          5.47520318  4.59724706  0.        ]
4,-6.66074177816,0.726614790043,-139.875577341,[-10.98565434  -0.09012991   0.           0.09296926   1.02933032   0.        ]
5,21.3216459145,21.3216459145,1791.01825682,"[ -11.56589691  -15.7602174   100.44545252    0.61104214    5.69495449
    0.        ]"
6,-6.58297080031,21.3216459145,-276.484773613,[-25.41223092  -1.88633758   0.           6.13987377   2.74274818   0.        ]
7,-4.85500862147,21.3216459145,-140.795250023,[-6.98365581 -0.01460615  0.          0.17570984  3.02449609  0.        ]
8,-5.02379897569,21.3216459145,-216.023355955,[-12.91319297   0.697139     0.           6.08084223   1.86727145   0.        ]
9,21.2759811484,21.3216459145,1787.18241647,"[  22.39263288  -42.75781795  125.02703625    1.94585997    5.98106153
    0.        ]"
10,-4.90298573424,21.3216459145,-142.186586293,[-0.99553461  6.94021019  0.          3.01606914  0.17906615  0.        ]
11,-5.21846735507,21.3216459145,-161.772488007,[ 5.63266188  7.3083961   0.          2.30988347  0.7457368   0.        ]
12,-4.92928498564,21.3216459145,-147.878549569,[-1.602733    8.59068151  0.          1.1849195   6.27279395  0.        ]
13,-7.46486445311,21.3216459145,-223.945933593,[-10.55508793  16.55702155   0.           3.52817103   1.47266747   0.        ]
14,1.21451988374,21.3216459145,64.3695538383,[ -2.66997104  20.96360803   0.           4.61465053   2.99555751   0.        ]
15,-5.02086710741,21.3216459145,-421.752837022,[ -2.92224219 -63.36131471   6.16465455   2.05934188   3.61675389   0.        ]
16,-5.93434246398,21.3216459145,-498.484766974,[ -3.36778488 -64.87564232   4.39594782   2.00873249   3.68197749   0.        ]
17,-7.23544980223,21.3216459145,-492.010586552,[ -2.26713605 -50.89526406   0.           4.62141657   0.95318141   0.        ]
18,-7.04349703185,21.3216459145,-316.957366433,[ -2.06021598 -27.61043586   0.           0.09363534   5.33136379   0.        ]
19,-6.05754339412,21.3216459145,-127.208411276,[-0.75877748  0.87810969  0.          1.488486    1.72967128  0.        ]
20,-6.91240789434,21.3216459145,-165.897789464,[-1.47284906  6.02188477  0.          3.53154203  0.38064212  0.        ]
21,-6.78717456321,21.3216459145,-278.274157092,[ -2.25514637 -20.19479486   0.           0.78617711   4.59322176   0.        ]
22,-4.58467597282,21.3216459145,-146.70963113,[-1.5065794  -0.79284338  0.          1.04417509  5.16851595  0.        ]
23,-6.92464513985,21.3216459145,-159.266838217,[-0.7717697  -1.44900627  0.          0.13723287  3.14652898  0.        ]
24,17.7658560093,21.3216459145,1492.33190478,"[  1.14814881e-02   1.13844915e+01   8.24561174e+01   5.91912293e+00
   6.28269150e+00   0.00000000e+00]"
25,17.7865311731,21.3216459145,1494.06861854,"[  5.03102752e-03  -9.33806651e+00   8.24651793e+01   6.14243090e+00
   6.28250026e+00   0.00000000e+00]"
26,17.7991167279,21.3216459145,1495.12580515,"[  8.05137851e-03  -2.74483073e+00   8.28630748e+01   3.57006939e-01
   1.15801782e-04   0.00000000e+00]"
27,17.7658175888,21.3216459145,1492.32867746,"[  2.76522881e-03   1.36172606e+01   8.14214161e+01   8.57276629e-02
   6.28246933e+00   0.00000000e+00]"
28,17.7682214043,21.3216459145,1492.53059796,"[  1.19913973e-02  -1.38894553e+01   8.12085855e+01   5.88500141e+00
   6.28314273e+00   0.00000000e+00]"
29,17.7889449812,21.3216459145,1494.27137842,"[ -4.06883075e-02   1.10567498e+01   8.15843966e+01   5.38569408e-01
   6.99404021e-04   0.00000000e+00]"
30,17.8003447506,21.3216459145,1495.22895905,"[  2.14900226e-02   2.30576572e+00   8.27759994e+01   3.19528506e-01
   6.28263606e+00   0.00000000e+00]"
31,17.7573555847,21.3216459145,1491.61786912,"[ -2.63376820e-02  -1.73070829e+01   7.99096028e+01   5.49593618e+00
   7.18574192e-04   0.00000000e+00]"
32,17.7586587114,21.3216459145,1491.72733176,"[  1.24747222e-02  -1.69928368e+01   7.99103126e+01   5.41769436e+00
   3.51919590e-04   0.00000000e+00]"
33,17.7023272841,21.3216459145,1486.99549187,"[  1.50636034e-02  -2.41264510e+01   7.79786383e+01   5.89527662e+00
   6.28255002e+00   0.00000000e+00]"
34,17.3918439037,21.3216459145,1460.91488791,"[ -1.99809920e-03  -4.26381498e+01   6.38922493e+01   4.75266113e+00
   6.28318391e+00   0.00000000e+00]"
35,17.8078700669,21.3216459145,1495.86108562,"[  9.31550934e-05  -3.12993695e+00   8.49624694e+01   8.40058388e-01
   6.28290272e+00   0.00000000e+00]"
36,17.5972912059,21.3216459145,1478.1724613,"[ -1.89807004e-02  -3.35500345e+01   6.96324648e+01   4.70470597e+00
   7.00827559e-04   0.00000000e+00]"
37,17.535272251,21.3216459145,1472.96286908,"[  9.00903793e-03   3.80495648e+01   6.85457497e+01   1.56110404e+00
   6.28286815e+00   0.00000000e+00]"
38,17.7832565941,21.3216459145,1493.79355391,"[ -8.87110494e-03   3.88267264e+00   8.29764527e+01   5.75629702e+00
   6.28294939e+00   0.00000000e+00]"
39,17.676160304,21.3216459145,1484.79746554,"[ -1.12526357e-03   2.76652728e+01   7.54674072e+01   1.03706855e+00
   2.74108357e-04   0.00000000e+00]"
40,17.7968425133,21.3216459145,1494.93477112,"[  9.37929723e-03  -3.59413150e+00   8.26807797e+01   5.68741291e+00
   6.28301363e+00   0.00000000e+00]"
41,17.7343967059,21.3216459145,1489.6893233,"[ -3.19337356e-02   2.03393344e+01   7.92488480e+01   5.88238165e-01
   7.37461102e-04   0.00000000e+00]"
42,17.5794052437,21.3216459145,1476.67004047,"[  7.76656775e-03   3.16086117e+01   7.71448020e+01   1.24937532e-01
   6.28297439e+00   0.00000000e+00]"
43,17.3970903314,21.3216459145,1461.35558784,"[ -2.55106364e-03   4.24284986e+01   6.79677760e+01   8.90007009e-01
   4.44217602e-04   0.00000000e+00]"
44,17.8091399584,21.3216459145,1495.9677565,"[  6.61728402e-03   6.62921774e+00   8.28834190e+01   7.95932505e-01
   6.28274234e+00   0.00000000e+00]"
45,17.5105770475,21.3216459145,1470.88847199,"[  1.67985911e-02  -3.83155420e+01   6.76423032e+01   4.79794711e+00
   6.28216298e+00   0.00000000e+00]"
46,17.709431,21.3216459145,1487.592204,"[  2.86402858e-02   2.56094427e+01   7.64637632e+01   1.18930591e+00
   6.28204634e+00   0.00000000e+00]"
47,17.5713404864,21.3216459145,1475.99260085,"[ -5.60714748e-05  -3.44775951e+01   6.75232545e+01   4.62542635e+00
   2.27910302e-04   0.00000000e+00]"
48,17.7939703895,21.3216459145,1494.69351272,"[  1.86588526e-04   3.94989220e+00   8.28176306e+01   6.12802173e+00
   2.25460536e-04   0.00000000e+00]"
49,17.7886137153,21.3216459145,1494.24355208,"[  6.50056349e-03   2.71792589e+00   8.29350056e+01   5.80755065e+00
   6.28303521e+00   0.00000000e+00]"
50,17.7458829391,21.3216459145,1490.65416688,"[  4.00591966e-03   1.61489494e+01   8.13646383e+01   1.32940765e-01
   9.41444979e-05   0.00000000e+00]"
51,17.7005647264,21.3216459145,1486.84743701,"[  1.85232770e-02  -2.44086436e+01   7.80351020e+01   6.01422310e+00
   6.28257385e+00   0.00000000e+00]"
52,17.6774945487,21.3216459145,1484.90954209,"[ -3.30261793e-02   2.30125665e+01   8.06033653e+01   6.27430350e+00
   8.30420653e-04   0.00000000e+00]"
53,17.7846248659,21.3216459145,1493.90848874,"[  7.01800567e-03  -1.03004132e+01   8.18178974e+01   5.79766974e+00
   6.28315775e+00   0.00000000e+00]"
54,17.7511928519,21.3216459145,1491.10019956,"[  7.88191333e-03   2.05065663e+01   7.85095445e+01   8.68125660e-01
   1.52989963e-04   0.00000000e+00]"
55,17.7753728573,21.3216459145,1493.13132001,"[ -8.52332021e-04  -1.11781289e+01   8.36067099e+01   5.97094940e-01
   1.02144327e-04   0.00000000e+00]"
56,17.6896567232,21.3216459145,1485.93116475,"[ -1.44625195e-02   2.44778307e+01   7.86519612e+01   2.85576765e-01
   4.64241594e-04   0.00000000e+00]"
57,17.4995051815,21.3216459145,1469.95843524,"[  3.56762620e-02   4.13129685e+01   6.65789261e+01   1.59050475e+00
   6.28172671e+00   0.00000000e+00]"
58,17.6921260063,21.3216459145,1486.13858453,"[ -9.20769894e-03   2.49088312e+01   7.71427596e+01   7.70779786e-01
   6.28312833e+00   0.00000000e+00]"
59,17.7958795733,21.3216459145,1494.85388416,"[ -1.37011234e-02  -2.01307247e+00   8.27367834e+01   6.19467742e+00
   3.38559543e-04   0.00000000e+00]"
60,17.7008563887,21.3216459145,1486.87193665,"[ -5.13664449e-03  -2.41583322e+01   7.78135530e+01   5.83170593e+00
   2.45077001e-04   0.00000000e+00]"
61,17.7866078394,21.3216459145,1494.07505851,"[  7.65643071e-04   7.93153860e+00   8.21474160e+01   5.99339328e-01
   4.37418873e-04   0.00000000e+00]"
62,17.4605393778,21.3216459145,1466.68530774,"[  2.28176459e-04   3.93931632e+01   7.16401218e+01   4.88175651e-01
   6.28299551e+00   0.00000000e+00]"
63,17.6082795034,21.3216459145,1479.09547828,"[  3.13945490e-02  -3.14391362e+01   7.52890048e+01   5.56730543e+00
   6.28198925e+00   0.00000000e+00]"
64,17.6154145112,21.3216459145,1479.69481894,"[ -2.50506737e-02   3.09005558e+01   7.51754180e+01   6.54522531e-01
   7.15877641e-04   0.00000000e+00]"
65,17.7737954928,21.3216459145,1492.9988214,"[  1.79250092e-02  -1.07716926e+01   8.23969568e+01   1.12521858e-01
   6.28271002e+00   0.00000000e+00]"
66,17.797573472,21.3216459145,1494.99617165,"[ -7.81303287e-03   2.80143856e+00   8.28021643e+01   5.65176723e-01
   1.88191514e-04   0.00000000e+00]"
67,17.7874540297,21.3216459145,1494.1461385,"[  2.01034958e-02   7.18636845e+00   8.25573385e+01   3.04243284e-01
   6.28237313e+00   0.00000000e+00]"
68,17.5623380893,21.3216459145,1475.2363995,"[  8.14953481e-03  -3.45203900e+01   7.26695939e+01   5.51367356e+00
   6.28266132e+00   0.00000000e+00]"
69,17.7973305607,21.3216459145,1494.9757671,"[  7.37353411e-03  -1.05577624e+00   8.27647900e+01   6.04895334e+00
   6.28303467e+00   0.00000000e+00]"
70,17.5363872983,21.3216459145,1473.05653306,"[ -6.50835101e-03  -3.72788985e+01   6.79461744e+01   4.82669184e+00
   1.15813854e-04   0.00000000e+00]"
71,17.7562587126,21.3216459145,1491.52573186,"[  1.39258664e-02   2.22145955e+01   7.83087601e+01   1.22383926e+00
   6.28282054e+00   0.00000000e+00]"
72,17.2545084021,21.3216459145,1449.37870578,"[ -1.34435812e-02   4.68826600e+01   6.28934141e+01   1.16117197e+00
   9.01701062e-04   0.00000000e+00]"
73,17.7886565666,21.3216459145,1494.24715159,"[ -6.08743112e-03   7.68437901e+00   8.23222411e+01   5.45100284e-01
   1.45399506e-04   0.00000000e+00]"
